tconst	imdb_id	primaryTitle	startYear	averageRating	numVotes
tt0111161	111161	The Shawshank Redemption	1994	9.3	2880568
tt0468569	468569	The Dark Knight	2008	9.0	2863134
tt1375666	1375666	Inception	2010	8.8	2543775
tt0137523	137523	Fight Club	1999	8.8	2316350
tt0109830	109830	Forrest Gump	1994	8.8	2250065
tt0110912	110912	Pulp Fiction	1994	8.9	2213165
tt0816692	816692	Interstellar	2014	8.7	2089930
tt0133093	133093	The Matrix	1999	8.7	2047015
tt0068646	68646	The Godfather	1972	9.2	2006150
tt0120737	120737	The Lord of the Rings: The Fellowship of the Ring	2001	8.9	2001872
tt0167260	167260	The Lord of the Rings: The Return of the King	2003	9.0	1973934
tt1345836	1345836	The Dark Knight Rises	2012	8.4	1822662
tt0114369	114369	Se7en	1995	8.6	1793469
tt0167261	167261	The Lord of the Rings: The Two Towers	2002	8.8	1779379
tt1853728	1853728	Django Unchained	2012	8.5	1689508
tt0172495	172495	Gladiator	2000	8.5	1615368
tt0361748	361748	Inglourious Basterds	2009	8.4	1579459
tt0993846	993846	The Wolf of Wall Street	2013	8.2	1577150
tt0372784	372784	Batman Begins	2005	8.2	1574511
tt0102926	102926	The Silence of the Lambs	1991	8.6	1544404
tt0120815	120815	Saving Private Ryan	1998	8.6	1493157
tt7286456	7286456	Joker	2019	8.4	1479104
tt0848228	848228	The Avengers	2012	8.0	1457167
tt1130884	1130884	Shutter Island	2010	8.2	1450871
tt0076759	76759	Star Wars: Episode IV - A New Hope	1977	8.6	1446670
tt0108052	108052	Schindler's List	1993	9.0	1446625
tt0482571	482571	The Prestige	2006	8.5	1437385
tt0407887	407887	The Departed	2006	8.5	1418886
tt0120689	120689	The Green Mile	1999	8.6	1403407
tt0499549	499549	Avatar	2009	7.9	1384097
tt0080684	80684	Star Wars: Episode V - The Empire Strikes Back	1980	8.7	1376608
tt0071562	71562	The Godfather Part II	1974	9.0	1360817
tt0209144	209144	Memento	2000	8.4	1320149
tt0088763	88763	Back to the Future	1985	8.5	1303328
tt0120338	120338	Titanic	1997	7.9	1277202
tt2015381	2015381	Guardians of the Galaxy	2014	8.0	1270722
tt4154796	4154796	Avengers: Endgame	2019	8.4	1261163
tt0099685	99685	Goodfellas	1990	8.7	1254102
tt0110413	110413	Léon: The Professional	1994	8.5	1242432
tt0169547	169547	American Beauty	1999	8.3	1208870
tt0325980	325980	Pirates of the Caribbean: The Curse of the Black Pearl	2003	8.1	1207439
tt4154756	4154756	Avengers: Infinity War	2018	8.4	1198894
tt0910970	910970	WALL·E	2008	8.4	1197295
tt0120382	120382	The Truman Show	1998	8.2	1192205
tt0266697	266697	Kill Bill: Vol. 1	2003	8.2	1189363
tt0120586	120586	American History X	1998	8.5	1184049
tt0434409	434409	V for Vendetta	2005	8.2	1177355
tt0103064	103064	Terminator 2: Judgment Day	1991	8.6	1171308
tt0114814	114814	The Usual Suspects	1995	8.5	1142983
tt0110357	110357	The Lion King	1994	8.5	1139163
tt1431045	1431045	Deadpool	2016	8.0	1122586
tt0371746	371746	Iron Man	2008	7.9	1122324
tt1049413	1049413	Up	2009	8.3	1121865
tt0086190	86190	Star Wars: Episode VI - Return of the Jedi	1983	8.3	1119151
tt0266543	266543	Finding Nemo	2003	8.2	1110779
tt0081505	81505	The Shining	1980	8.4	1103678
tt0264464	264464	Catch Me If You Can	2002	8.1	1091768
tt0112573	112573	Braveheart	1995	8.3	1089525
tt0105236	105236	Reservoir Dogs	1992	8.3	1085557
tt1392190	1392190	Mad Max: Fury Road	2015	8.1	1083002
tt0338013	338013	Eternal Sunshine of the Spotless Mind	2004	8.3	1075515
tt0073486	73486	One Flew Over the Cuckoo's Nest	1975	8.7	1070168
tt0114709	114709	Toy Story	1995	8.3	1066151
tt2267998	2267998	Gone Girl	2014	8.1	1064719
tt0119217	119217	Good Will Hunting	1997	8.3	1064372
tt0107290	107290	Jurassic Park	1993	8.2	1064160
tt0477348	477348	No Country for Old Men	2007	8.2	1057070
tt0167404	167404	The Sixth Sense	1999	8.2	1048980
tt0082971	82971	Raiders of the Lost Ark	1981	8.4	1035166
tt1392170	1392170	The Hunger Games	2012	7.2	1001512
tt0268978	268978	A Beautiful Mind	2001	8.2	984921
tt2582802	2582802	Whiplash	2014	8.5	984633
tt0198781	198781	Monsters, Inc.	2001	8.1	976633
tt2488496	2488496	Star Wars: Episode VII - The Force Awakens	2015	7.8	972404
tt6751668	6751668	Parasite	2019	8.5	953655
tt0078748	78748	Alien	1979	8.5	947871
tt1201607	1201607	Harry Potter and the Deathly Hallows: Part 2	2011	8.1	945769
tt0095016	95016	Die Hard	1988	8.2	943171
tt1675434	1675434	The Intouchables	2011	8.5	926676
tt3659388	3659388	The Martian	2015	8.0	922024
tt0088247	88247	The Terminator	1984	8.1	922010
tt2395427	2395427	Avengers: Age of Ultron	2015	7.3	919888
tt0075314	75314	Taxi Driver	1976	8.2	918002
tt0086250	86250	Scarface	1983	8.3	914039
tt0253474	253474	The Pianist	2002	8.5	909246
tt0208092	208092	Snatch	2000	8.2	908380
tt0800369	800369	Thor	2011	7.0	898633
tt1300854	1300854	Iron Man 3	2013	7.1	897544
tt1843866	1843866	Captain America: The Winter Soldier	2014	7.7	897316
tt0180093	180093	Requiem for a Dream	2000	8.3	896719
tt0458339	458339	Captain America: The First Avenger	2011	6.9	895192
tt0435761	435761	Toy Story 3	2010	8.3	890808
tt2278388	2278388	The Grand Budapest Hotel	2014	8.1	884457
tt0066921	66921	A Clockwork Orange	1971	8.3	879612
tt0145487	145487	Spider-Man	2002	7.4	877267
tt1010048	1010048	Slumdog Millionaire	2008	8.0	876511
tt10872600	10872600	Spider-Man: No Way Home	2021	8.2	874997
tt1663202	1663202	The Revenant	2015	8.0	872294
tt0903624	903624	The Hobbit: An Unexpected Journey	2012	7.8	871507
tt1228705	1228705	Iron Man 2	2010	6.9	866747
tt0416449	416449	300	2006	7.6	862664
tt1454468	1454468	Gravity	2013	7.7	862198
tt0050083	50083	12 Angry Men	1957	9.0	862059
tt0118715	118715	The Big Lebowski	1998	8.1	858623
tt0120915	120915	Star Wars: Episode I - The Phantom Menace	1999	6.5	854673
tt0241527	241527	Harry Potter and the Sorcerer's Stone	2001	7.6	854233
tt0246578	246578	Donnie Darko	2001	8.0	848366
tt3498820	3498820	Captain America: Civil War	2016	7.8	848126
tt0245429	245429	Spirited Away	2001	8.6	846273
tt7131622	7131622	Once Upon a Time... in Hollywood	2019	7.6	844260
tt1119646	1119646	The Hangover	2009	7.7	843575
tt0121766	121766	Star Wars: Episode III - Revenge of the Sith	2005	7.6	843572
tt1160419	1160419	Dune: Part One	2021	8.0	839855
tt1825683	1825683	Black Panther	2018	7.3	835604
tt3315342	3315342	Logan	2017	8.1	828866
tt2084970	2084970	The Imitation Game	2014	8.0	823137
tt0947798	947798	Black Swan	2010	8.0	822771
tt0382932	382932	Ratatouille	2007	8.1	821605
tt0083658	83658	Blade Runner	1982	8.1	821432
tt3501632	3501632	Thor: Ragnarok	2017	7.9	814157
tt1205489	1205489	Gran Torino	2008	8.1	813685
tt0480249	480249	I Am Legend	2007	7.2	812262
tt0770828	770828	Man of Steel	2013	7.1	810628
tt0097576	97576	Indiana Jones and the Last Crusade	1989	8.2	809505
tt0060196	60196	The Good, the Bad and the Ugly	1966	8.8	809331
tt1392214	1392214	Prisoners	2013	8.2	806569
tt0317705	317705	The Incredibles	2004	8.0	806343
tt0378194	378194	Kill Bill: Vol. 2	2004	8.0	802938
tt1211837	1211837	Doctor Strange	2016	7.5	802857
tt0317248	317248	City of God	2002	8.6	799182
tt0892769	892769	How to Train Your Dragon	2010	8.1	798166
tt0211915	211915	Amélie	2001	8.3	793075
tt0401792	401792	Sin City	2005	8.0	793020
tt0093058	93058	Full Metal Jacket	1987	8.3	788823
tt1877830	1877830	The Batman	2022	7.8	783458
tt2096673	2096673	Inside Out	2015	8.1	782809
tt8946378	8946378	Knives Out	2019	7.9	771657
tt2543164	2543164	Arrival	2016	7.9	767622
